mean_ear,min_ear,max_ear,std_ear,ear_q10,ear_q25,ear_q75,ear_q90,ear_range,ear_slope,perclos,longest_eye_close,longest_eye_close_seconds,mean_eye_close_duration,eye_close_events,eye_close_event_rate,mean_mar,min_mar,max_mar,std_mar,mar_q75,mar_q90,mar_q95,mar_range,mar_slope,mouth_open_ratio,mouth_open_events,longest_mouth_open,longest_mouth_open_seconds,mean_mouth_open_duration,eye_mouth_ratio,fatigue_score,yawn_score,label,source,video_name,group_id,window_index,frame_start,frame_end,fps,samples_per_second,window_seconds
0.17541750038773307,0.14347147297304946,0.2002284263430755,0.01401132259962279,0.15891032084657541,0.16684077764680977,0.1825203440855826,0.19533139684019485,0.056756953370026036,0.0007564917302942307,0.06896551724137931,1,0.16683976809025278,0.16683976809025278,2,0.41336378029530757,0.019740731054084918,0.0,0.04912095919979347,0.010793482309108279,0.023557142371577276,0.03245600125529414,0.03461109458859711,0.04912095919979347,0.0005598609671186892,0.0,0,0,0.0,0.0,8.88561899192908,0.06896551724137931,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,1,5,145,29.968874071409797,5.993774814281959,5.0
0.17957090618827282,0.14826854430349912,0.19620044502795198,0.010128594919868965,0.16759288473924439,0.17578000371686836,0.18409444071277048,0.191487243941277,0.04793190072445286,-0.000256681171872136,0.034482758620689655,1,0.16683976809025278,0.16683976809025278,1,0.20668189014765379,0.014398208495173185,0.0,0.0531306428361855,0.01264251123420196,0.017854296416882943,0.025803909990226078,0.03151354432195394,0.0531306428361855,-0.00022257407976210598,0.0,0,0,0.0,0.0,12.470887288594195,0.034482758620689655,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,2,150,295,29.968874071409797,5.993774814281959,5.0
0.18820309473650668,0.16907068393612912,0.20185098882559144,0.007390551406365874,0.17931791727144902,0.18353819927912532,0.19364638652148752,0.1957909292702766,0.03278030488946232,0.0005270099756089102,0.0,0,0.0,0.0,0,0.0,0.01460310322288512,0.0,0.03332870466798667,0.008164683884852404,0.017241379310344827,0.019069868045292405,0.02396834451834732,0.03332870466798667,-0.00031476443273452783,0.0,0,0,0.0,0.0,12.887001130037627,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,3,300,440,29.968874071409797,5.993774814281959,5.0
0.1913180308017731,0.16660913932436516,0.2109651116300583,0.010768982248610243,0.17894625294543123,0.1850209626508501,0.19911933846583768,0.20341329267935573,0.04435597230569313,-0.00031810177211469715,0.0,0,0.0,0.0,0,0.0,0.015842811243841078,0.0,0.05171645175253436,0.012867585475369142,0.023969721396154154,0.026624244951588424,0.03629704918208563,0.05171645175253436,-0.0003832414261295626,0.0,0,0,0.0,0.0,12.075253097713066,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,4,445,585,29.968874071409797,5.993774814281959,5.0
0.1810725033816986,0.15466797672080496,0.20256720171820353,0.010943396000856875,0.1669735574051736,0.1747387117635588,0.19040591894716122,0.1920425480710763,0.04789922499739857,-0.0005304381285495214,0.0,0,0.0,0.0,0,0.0,0.009072423669640929,0.0,0.03854716722458498,0.010807114307036708,0.017238817250844786,0.022874572953609167,0.023652053221196314,0.03854716722458498,-0.00015256563754414144,0.0,0,0,0.0,0.0,19.956359360530595,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,5,590,730,29.968874071409797,5.993774814281959,5.0
0.17136559652249136,0.15260842673023667,0.2002892961179869,0.011639460085437614,0.15608683204923782,0.16204134134339238,0.1809915118489513,0.18452492157924238,0.047680869387750235,0.0007766396783824957,0.0,0,0.0,0.0,0,0.0,0.011377734489266291,0.0,0.024776471541572212,0.00988960137352518,0.017519611040921222,0.023602176353163164,0.024185782446557457,0.024776471541572212,-0.00022504743331533088,0.0,0,0,0.0,0.0,15.060163033432477,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,6,735,875,29.968874071409797,5.993774814281959,5.0
0.17386501018267922,0.11839280692147604,0.20533689142574899,0.018946915904002586,0.15617352302158768,0.1673921509762739,0.18426138864091723,0.1897260171096791,0.08694408450427295,5.332488710788008e-05,0.10344827586206896,2,0.33367953618050555,0.25025965213537915,2,0.41336378029530757,0.023400477803776305,0.0,0.06943774745378858,0.014431711946830272,0.029405406092748727,0.03936326571782568,0.0403266300045407,0.06943774745378858,0.0008358207137968612,0.0,0,0,0.0,0.0,7.429659427517973,0.20689655172413793,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,7,880,1040,29.968874071409797,5.993774814281959,5.0
0.17107290757735227,0.14371694939500565,0.20151255395478318,0.0132819612152988,0.15470569396316863,0.16166051282099736,0.1813160378473568,0.18570606124096065,0.05779560455977753,-8.033742424007563e-05,0.034482758620689655,1,0.16683976809025278,0.16683976809025278,1,0.20668189014765379,0.015362020454948493,0.0,0.03724711252952239,0.009794952929514164,0.02279803762937766,0.024467783347335167,0.0253480136690085,0.03724711252952239,-0.0005241132151706465,0.0,0,0,0.0,0.0,11.135369381237073,0.034482758620689655,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,8,1045,1185,29.968874071409797,5.993774814281959,5.0
0.188056264765175,0.1508874000516429,0.20914503374720092,0.012614573509118304,0.17534280976087976,0.18302025063497035,0.194367024905662,0.20630676805459175,0.05825763369555803,-0.00026486119170977167,0.0,0,0.0,0.0,0,0.0,0.009044119230609084,0.0,0.023557142371577276,0.00896986873924492,0.016120647005479025,0.018586063579093308,0.02280337293059242,0.023557142371577276,-0.0003964446650457963,0.0,0,0,0.0,0.0,20.790910541984267,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,9,1190,1330,29.968874071409797,5.993774814281959,5.0
0.1881114868182369,0.1623773430601468,0.20579573486543967,0.009267308815981498,0.17624740215415696,0.18516750559428893,0.19446141551804255,0.19724710686498012,0.04341839180529286,-0.00029579310446402503,0.0,0,0.0,0.0,0,0.0,0.018091154378729803,0.0,0.0518406173798095,0.014236751336632436,0.032253869436520144,0.036182875514376774,0.03702145073924074,0.0518406173798095,0.0004516246073195273,0.0,0,0,0.0,0.0,10.3974066813951,0.0,0.0,NORMAL,uta,data\raw\uta\normal\normal_001_5323f00c.mov,group_001,10,1335,1475,29.968874071409797,5.993774814281959,5.0
